"filename", "language", "JavaScript", "JavaScript JSX", "PostCSS", "comment", "blank", "total"
"a:\projects\club-4k\src\components\layouts\UserPanelLayout.jsx", "JavaScript JSX", 0, 44, 0, 0, 7, 51
"a:\projects\club-4k\src\components\modules\ChallengeBox\ChallengeBox.jsx", "JavaScript JSX", 0, 19, 0, 0, 2, 21
"a:\projects\club-4k\src\components\modules\Comment\Comment.jsx", "JavaScript JSX", 0, 17, 0, 0, 2, 19
"a:\projects\club-4k\src\components\modules\Footer\Footer.jsx", "JavaScript JSX", 0, 113, 0, 1, 6, 120
"a:\projects\club-4k\src\components\modules\GalleryBox\GalleryBox.jsx", "JavaScript JSX", 0, 11, 0, 0, 3, 14
"a:\projects\club-4k\src\components\modules\MainAdmin\SideBar.jsx", "JavaScript JSX", 0, 231, 0, 0, 6, 237
"a:\projects\club-4k\src\components\modules\MainAdmin\TopBar.jsx", "JavaScript JSX", 0, 153, 0, 8, 10, 171
"a:\projects\club-4k\src\components\modules\MotivationBox\MotivationBox.jsx", "JavaScript JSX", 0, 22, 0, 0, 3, 25
"a:\projects\club-4k\src\components\modules\Navbar\Navbar.jsx", "JavaScript JSX", 0, 218, 0, 0, 12, 230
"a:\projects\club-4k\src\components\modules\NewsBox\NewsBox.jsx", "JavaScript JSX", 0, 40, 0, 0, 3, 43
"a:\projects\club-4k\src\components\modules\P-admin\SideBar.jsx", "JavaScript JSX", 0, 203, 0, 0, 12, 215
"a:\projects\club-4k\src\components\modules\P-admin\TopBar.jsx", "JavaScript JSX", 0, 153, 0, 8, 10, 171
"a:\projects\club-4k\src\components\modules\Product\Product.jsx", "JavaScript JSX", 0, 22, 0, 0, 2, 24
"a:\projects\club-4k\src\components\modules\RankingChart\RankingChart.jsx", "JavaScript JSX", 0, 85, 0, 1, 6, 92
"a:\projects\club-4k\src\components\modules\p-user\SideBar.jsx", "JavaScript JSX", 0, 245, 0, 0, 5, 250
"a:\projects\club-4k\src\components\modules\p-user\Ticket.jsx", "JavaScript JSX", 0, 17, 0, 0, 2, 19
"a:\projects\club-4k\src\components\modules\p-user\TopBar.jsx", "JavaScript JSX", 0, 41, 0, 0, 5, 46
"a:\projects\club-4k\src\components\templates\Profile\ChallengeArticle.jsx", "JavaScript JSX", 0, 25, 0, 0, 3, 28
"a:\projects\club-4k\src\components\templates\challenge\ChallengeCard.jsx", "JavaScript JSX", 0, 54, 0, 0, 2, 56
"a:\projects\club-4k\src\components\templates\challenge\ChallengeForm.jsx", "JavaScript JSX", 0, 170, 0, 2, 9, 181
"a:\projects\club-4k\src\components\templates\challenge\ChallengeModal.jsx", "JavaScript JSX", 0, 39, 0, 0, 4, 43
"a:\projects\club-4k\src\components\templates\contactus\ContactForm.jsx", "JavaScript JSX", 0, 117, 0, 1, 6, 124
"a:\projects\club-4k\src\components\templates\gallery\GalleryImages.jsx", "JavaScript JSX", 0, 9, 0, 0, 2, 11
"a:\projects\club-4k\src\components\templates\index\Challenge\Challenge.jsx", "JavaScript JSX", 0, 29, 0, 0, 3, 32
"a:\projects\club-4k\src\components\templates\index\Comments\Comments.jsx", "JavaScript JSX", 0, 35, 0, 0, 3, 38
"a:\projects\club-4k\src\components\templates\index\Gallery\Gallery.jsx", "JavaScript JSX", 0, 30, 0, 0, 3, 33
"a:\projects\club-4k\src\components\templates\index\Header\Header.jsx", "JavaScript JSX", 0, 17, 0, 1, 2, 20
"a:\projects\club-4k\src\components\templates\index\Leaderboard\Leaderboard.jsx", "JavaScript JSX", 0, 17, 0, 2, 3, 22
"a:\projects\club-4k\src\components\templates\index\Motivational\Motivational.jsx", "JavaScript JSX", 0, 32, 0, 0, 3, 35
"a:\projects\club-4k\src\components\templates\index\News\News.jsx", "JavaScript JSX", 0, 46, 0, 1, 4, 51
"a:\projects\club-4k\src\components\templates\index\Products\Products.jsx", "JavaScript JSX", 0, 127, 0, 0, 15, 142
"a:\projects\club-4k\src\components\templates\index\Ranking\Ranking.jsx", "JavaScript JSX", 0, 22, 0, 0, 2, 24
"a:\projects\club-4k\src\components\templates\login-admin\LoginAdmin.jsx", "JavaScript JSX", 0, 161, 0, 0, 9, 170
"a:\projects\club-4k\src\components\templates\login\Login.jsx", "JavaScript JSX", 0, 63, 0, 4, 5, 72
"a:\projects\club-4k\src\components\templates\news\NewsSection.jsx", "JavaScript JSX", 0, 40, 0, 1, 3, 44
"a:\projects\club-4k\src\components\templates\p-admin\challenges\challenge.jsx", "JavaScript JSX", 0, 142, 0, 1, 12, 155
