"filename", "language", "JavaScript", "Markdown", "JSON", "JavaScript JSX", "XML", "JSON with Comments", "PostCSS", "comment", "blank", "total"
"a:\projects\club-4k\src\app\api\users\[userId]\route.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 2, 18
"a:\projects\club-4k\src\app\api\users\route.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"a:\projects\club-4k\src\app\challenge\page.jsx", "JavaScript JSX", 0, 0, 0, -91, 0, 0, 0, -6, -14, -111
"a:\projects\club-4k\src\app\comment\page.jsx", "JavaScript JSX", 0, 0, 0, 18, 0, 0, 0, 0, 2, 20
"a:\projects\club-4k\src\app\forget-password\page.jsx", "JavaScript JSX", 0, 0, 0, -73, 0, 0, 0, 0, -6, -79
"a:\projects\club-4k\src\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"a:\projects\club-4k\src\app\layout.js", "JavaScript", -6, 0, 0, 0, 0, 0, 0, 0, 1, -5
"a:\projects\club-4k\src\app\p-admin\challenges\page.jsx", "JavaScript JSX", 0, 0, 0, 25, 0, 0, 0, 0, 1, 26
"a:\projects\club-4k\src\app\p-admin\news\page.jsx", "JavaScript JSX", 0, 0, 0, 50, 0, 0, 0, 0, 6, 56
"a:\projects\club-4k\src\app\p-admin\page.jsx", "JavaScript JSX", 0, 0, 0, 4, 0, 0, 0, 0, 3, 7
"a:\projects\club-4k\src\app\p-user\challenge\page.jsx", "JavaScript JSX", 0, 0, 0, 46, 0, 0, 0, 0, 9, 55
"a:\projects\club-4k\src\app\p-user\editprofile\page.jsx", "JavaScript JSX", 0, 0, 0, -42, 0, 0, 0, 0, -9, -51
"a:\projects\club-4k\src\app\p-user\tickets\[id]\page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"a:\projects\club-4k\src\app\page.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"a:\projects\club-4k\src\app\profile\[userId]\page.jsx", "JavaScript JSX", 0, 0, 0, 5, 0, 0, 0, 0, 2, 7
"a:\projects\club-4k\src\app\profile\page.jsx", "JavaScript JSX", 0, 0, 0, -102, 0, 0, 0, -2, -4, -108
"a:\projects\club-4k\src\app\randomsentence\page.jsx", "JavaScript JSX", 0, 0, 0, -46, 0, 0, 0, 0, -4, -50
"a:\projects\club-4k\src\app\resetPassword\[url]\page.jsx", "JavaScript JSX", 0, 0, 0, 10, 0, 0, 0, 0, 2, 12
"a:\projects\club-4k\src\app\scan-session\page.jsx", "JavaScript JSX", 0, 0, 0, 820, 0, 0, 0, 30, 63, 913
